Source,Target,Weight,Type
A. H. Millington,Ace,1,undirected
A. H. Millington,Fenric,1,undirected
A. H. Millington,Haemovore,1,undirected
A. H. Millington,Ingiger,1,undirected
A. H. Millington,Seventh Doctor,1,undirected
Ace,A. H. Millington,1,undirected
Ace,Allison Williams,1,undirected
Ace,Ancelyn,1,undirected
Ace,Black Dalek Leader,1,undirected
Ace,Cheetah Person,1,undirected
Ace,Chief clown,1,undirected
Ace,Cyber-Leader (Silver Nemesis),1,undirected
Ace,Davros,1,undirected
Ace,De Flores,1,undirected
Ace,Fenric,1,undirected
Ace,Fifth Doctor,1,undirected
Ace,Fourth Doctor,1,undirected
Ace,Gods of Ragnarok,1,undirected
Ace,Haemovore,1,undirected
Ace,Helen A,1,undirected
Ace,Ian Gilmore,1,undirected
Ace,Ingiger,1,undirected
Ace,Josiah Samuel Smith,1,undirected
Ace,K9 (Storm in a Tikka) (page does not exist),1,undirected
Ace,Kandyman,1,undirected
Ace,Kane (Dragonfire),1,undirected
Ace,Kitling,1,undirected
Ace,Leela,1,undirected
Ace,Light (Ghost Light),1,undirected
Ace,Liz Shaw,1,undirected
Ace,Mags (The Greatest Show in the Galaxy),1,undirected
Ace,Melanie Bush,2,undirected
Ace,Midge (Survival),1,undirected
Ace,Mike Yates,1,undirected
Ace,Morgaine,1,undirected
Ace,Nyssa,1,undirected
Ace,Peinforte,1,undirected
Ace,Peri Brown,1,undirected
Ace,Rachel Jensen,1,undirected
Ace,Romana II,1,undirected
Ace,Sabalom Glitz,1,undirected
Ace,Sarah Jane Smith,1,undirected
Ace,Seventh Doctor,10,undirected
Ace,Sixth Doctor,1,undirected
Ace,Susan Foreman,1,undirected
Ace,The Brigadier,2,undirected
Ace,The Destroyer,1,undirected
Ace,The Master,1,undirected
Ace,The Rani,1,undirected
Ace,Third Doctor,1,undirected
Ace,Victoria Waterfield,1,undirected
Ace,Winifred Bambera,1,undirected
Ace (Death Comes to Time),Antimony (Death Comes to Time),1,undirected
Ace (Death Comes to Time),Minister of Chance,1,undirected
Ace (Death Comes to Time),Seventh Doctor (Death Comes to Time),1,undirected
Ace (Death Comes to Time),Tannis (Death Comes to Time),1,undirected
Ace (Death Comes to Time),The Brigadier (Death Comes to Time),1,undirected
Adrasta,Fourth Doctor,1,undirected
Adrasta,K9 Mark II,1,undirected
Adrasta,Romana II,1,undirected
Adric,Ann Talbot,1,undirected
Adric,Cyber-Leader (Earthshock),1,undirected
Adric,Dukkha,1,undirected
Adric,Fifth Doctor,9,undirected
Adric,Fourth Doctor,5,undirected
Adric,Hindle,1,undirected
Adric,K9 Mark II,3,undirected
Adric,Kamelion,1,undirected
Adric,King Vampire,1,undirected
Adric,Madge Cranleigh,1,undirected
Adric,Mara,1,undirected
Adric,Marshman,1,undirected
Adric,Morgus,1,undirected
Adric,Nyssa,10,undirected
Adric,Peri Brown,1,undirected
Adric,Richard Mace,1,undirected
Adric,Romana II,3,undirected
Adric,Rorvik,1,undirected
Adric,Sharaz Jek,1,undirected
Adric,Sixth Doctor,1,undirected
Adric,Stotz,1,undirected
Adric,Tegan Jovanka,9,undirected
Adric,Terileptil,1,undirected
Adric,Terileptil android,1,undirected
Adric,The Master,4,undirected
Adric,The Watcher (Logopolis),1,undirected
Adric,Three Who Rule,1,undirected
Adric,Urbankan,1,undirected
Adric,Vislor Turlough,1,undirected
Aggedor (The Curse of Peladon),Alpha Centauri (The Curse of Peladon),2,undirected
Aggedor (The Curse of Peladon),Amazonia,1,undirected
Aggedor (The Curse of Peladon),Arcturus (The Curse of Peladon),1,undirected
Aggedor (The Curse of Peladon),Azaxyr,1,undirected
Aggedor (The Curse of Peladon),Eckersley,1,undirected
Aggedor (The Curse of Peladon),Ettis,1,undirected
Aggedor (The Curse of Peladon),Grun,1,undirected
Aggedor (The Curse of Peladon),Hepesh,1,undirected
Aggedor (The Curse of Peladon),Ice Lord,1,undirected
Aggedor (The Curse of Peladon),Ice Warrior,2,undirected
Aggedor (The Curse of Peladon),Jo Grant,1,undirected
Aggedor (The Curse of Peladon),Peladon of Peladon,1,undirected
Aggedor (The Curse of Peladon),Sarah Jane Smith,1,undirected
Aggedor (The Curse of Peladon),Third Doctor,2,undirected
Alastair Lethbridge-Stewart,Eric Stahlman,1,undirected
Alastair Lethbridge-Stewart,Greg Sutton,1,undirected
Alastair Lethbridge-Stewart,John Benton,1,undirected
Alastair Lethbridge-Stewart,Keith Gold,1,undirected
Alastair Lethbridge-Stewart,Liz Shaw,1,undirected
Alastair Lethbridge-Stewart,Petra Williams,1,undirected
Alastair Lethbridge-Stewart,The Brigadier,1,undirected
Alastair Lethbridge-Stewart,Third Doctor,1,undirected
Alistair Gordon Lethbridge-Stewart,Black Guardian,1,undirected
Alistair Gordon Lethbridge-Stewart,Borusa,1,undirected
Alistair Gordon Lethbridge-Stewart,Broton,1,undirected
Alistair Gordon Lethbridge-Stewart,Cyber-Director,1,undirected
Alistair Gordon Lethbridge-Stewart,Edward Travers,1,undirected
Alistair Gordon Lethbridge-Stewart,Fifth Doctor,2,undirected
Alistair Gordon Lethbridge-Stewart,First Doctor,1,undirected
Alistair Gordon Lethbridge-Stewart,Fourth Doctor,3,undirected
Alistair Gordon Lethbridge-Stewart,Great Intelligence,1,undirected
Alistair Gordon Lethbridge-Stewart,Harry Sullivan,2,undirected
Alistair Gordon Lethbridge-Stewart,Isobel Watkins,1,undirected
Alistair Gordon Lethbridge-Stewart,Jack Tracy,1,undirected
Alistair Gordon Lethbridge-Stewart,Jamie McCrimmon,2,undirected
Alistair Gordon Lethbridge-Stewart,John Benton,2,undirected
Alistair Gordon Lethbridge-Stewart,K9 Mark III,1,undirected
Alistair Gordon Lethbridge-Stewart,Lord President,1,undirected
Alistair Gordon Lethbridge-Stewart,Mawdryn,1,undirected
Alistair Gordon Lethbridge-Stewart,Nyssa,1,undirected
Alistair Gordon Lethbridge-Stewart,Rassilon,1,undirected
Alistair Gordon Lethbridge-Stewart,Romana II,1,undirected
Alistair Gordon Lethbridge-Stewart,Sarah Jane Smith,3,undirected
Alistair Gordon Lethbridge-Stewart,Scientific Reform Society,1,undirected
Alistair Gordon Lethbridge-Stewart,Second Doctor,3,undirected
Alistair Gordon Lethbridge-Stewart,Susan Foreman,1,undirected
Alistair Gordon Lethbridge-Stewart,Tegan Jovanka,2,undirected
Alistair Gordon Lethbridge-Stewart,The Master,1,undirected
Alistair Gordon Lethbridge-Stewart,Third Doctor,1,undirected
Alistair Gordon Lethbridge-Stewart,Tobias Vaughn,1,undirected
Alistair Gordon Lethbridge-Stewart,Victoria Waterfield,1,undirected
Alistair Gordon Lethbridge-Stewart,Vislor Turlough,2,undirected
Alistair Gordon Lethbridge-Stewart,Zoe Heriot,1,undirected
Allison Williams,Ace,1,undirected
Allison Williams,Black Dalek Leader,1,undirected
Allison Williams,Davros,1,undirected
Allison Williams,Ian Gilmore,1,undirected
Allison Williams,Rachel Jensen,1,undirected
Allison Williams,Seventh Doctor,1,undirected
Alpha Centauri (The Curse of Peladon),Aggedor (The Curse of Peladon),2,undirected
Alpha Centauri (The Curse of Peladon),Amazonia,1,undirected
Alpha Centauri (The Curse of Peladon),Arcturus (The Curse of Peladon),1,undirected
Alpha Centauri (The Curse of Peladon),Azaxyr,1,undirected
Alpha Centauri (The Curse of Peladon),Eckersley,1,undirected
Alpha Centauri (The Curse of Peladon),Ettis,1,undirected
Alpha Centauri (The Curse of Peladon),Grun,1,undirected
Alpha Centauri (The Curse of Peladon),Hepesh,1,undirected
Alpha Centauri (The Curse of Peladon),Ice Lord,1,undirected
Alpha Centauri (The Curse of Peladon),Ice Warrior,2,undirected
Alpha Centauri (The Curse of Peladon),Jo Grant,1,undirected
Alpha Centauri (The Curse of Peladon),Peladon of Peladon,1,undirected
Alpha Centauri (The Curse of Peladon),Sarah Jane Smith,1,undirected
Alpha Centauri (The Curse of Peladon),Third Doctor,2,undirected
Amazonia,Aggedor (The Curse of Peladon),1,undirected
Amazonia,Alpha Centauri (The Curse of Peladon),1,undirected
Amazonia,Arcturus (The Curse of Peladon),1,undirected
Amazonia,Grun,1,undirected
Amazonia,Hepesh,1,undirected
Amazonia,Ice Warrior,1,undirected
Amazonia,Jo Grant,1,undirected
Amazonia,Peladon of Peladon,1,undirected
Amazonia,Third Doctor,1,undirected
Ancelyn,Ace,1,undirected
Ancelyn,Morgaine,1,undirected
Ancelyn,Seventh Doctor,1,undirected
Ancelyn,The Brigadier,1,undirected
Ancelyn,The Destroyer,1,undirected
Ancelyn,Winifred Bambera,1,undirected
Ander Poul,Fourth Doctor,1,undirected
Ander Poul,Kaldor android,1,undirected
Ander Poul,Kiy Uvanov,1,undirected
Ander Poul,Leela,1,undirected
Ander Poul,Lish Toos,1,undirected
Ander Poul,Taren Capel,1,undirected
Animus,Barbara Wright,1,undirected
Animus,First Doctor,1,undirected
Animus,Ian Chesterton,1,undirected
Animus,Vicki Pallister,1,undirected
Ann Talbot,Adric,1,undirected
Ann Talbot,Fifth Doctor,1,undirected
Ann Talbot,Madge Cranleigh,1,undirected
Ann Talbot,Nyssa,1,undirected
Ann Talbot,Tegan Jovanka,1,undirected
Anti-matter creature,Fourth Doctor,1,undirected
Anti-matter creature,Salamar,1,undirected
Anti-matter creature,Sarah Jane Smith,1,undirected
Antimony (Death Comes to Time),Ace (Death Comes to Time),1,undirected
Antimony (Death Comes to Time),Minister of Chance,1,undirected
Antimony (Death Comes to Time),Seventh Doctor (Death Comes to Time),1,undirected
Antimony (Death Comes to Time),Tannis (Death Comes to Time),1,undirected
Antimony (Death Comes to Time),The Brigadier (Death Comes to Time),1,undirected
Arcturus (The Curse of Peladon),Aggedor (The Curse of Peladon),1,undirected
Arcturus (The Curse of Peladon),Alpha Centauri (The Curse of Peladon),1,undirected
Arcturus (The Curse of Peladon),Amazonia,1,undirected
Arcturus (The Curse of Peladon),Grun,1,undirected
Arcturus (The Curse of Peladon),Hepesh,1,undirected
Arcturus (The Curse of Peladon),Ice Warrior,1,undirected
Arcturus (The Curse of Peladon),Jo Grant,1,undirected
Arcturus (The Curse of Peladon),Peladon of Peladon,1,undirected
Arcturus (The Curse of Peladon),Third Doctor,1,undirected
Arthur Linwood,Carol Bell,1,undirected
Arthur Linwood,Charles Kettering,1,undirected
Arthur Linwood,George Patrick Barnham,1,undirected
Arthur Linwood,Harry Mailer,1,undirected
Arthur Linwood,Jo Grant,1,undirected
Arthur Linwood,John Benton,1,undirected
Arthur Linwood,Keller Machine,1,undirected
Arthur Linwood,Mike Yates,1,undirected
Arthur Linwood,Roland Summers,1,undirected
Arthur Linwood,The Brigadier,1,undirected
Arthur Linwood,The Master,1,undirected
Arthur Linwood,Third Doctor,1,undirected
Astra of Atrios,Black Guardian,1,undirected
Astra of Atrios,Drax,1,undirected
Astra of Atrios,Fourth Doctor,1,undirected
Astra of Atrios,K9 Mark II,1,undirected
Astra of Atrios,Marshal of Atrios,1,undirected
Astra of Atrios,Romana I,1,undirected
Astra of Atrios,The Shadow,1,undirected
Auton,Channing,1,undirected
Auton,Liz Shaw,1,undirected
Auton,Nestene Consciousness,1,undirected
Auton,The Brigadier,1,undirected
Auton,Third Doctor,1,undirected
Axos,Carol Bell,1,undirected
Axos,Jo Grant,1,undirected
Axos,John Benton,1,undirected
Axos,Mike Yates,1,undirected
Axos,The Brigadier,1,undirected
Axos,The Master,1,undirected
Axos,Third Doctor,1,undirected
Azal,Dæmon,1,undirected
Azal,Jo Grant,1,undirected
Azal,John Benton,1,undirected
Azal,Mike Yates,1,undirected
Azal,Olive Hawthorne,1,undirected
Azal,The Brigadier,1,undirected
Azal,The Master,1,undirected
Azal,Third Doctor,1,undirected
Azal,Tom Osgood,1,undirected
Azaxyr,Aggedor (The Curse of Peladon),1,undirected
Azaxyr,Alpha Centauri (The Curse of Peladon),1,undirected
Azaxyr,Eckersley,1,undirected
Azaxyr,Ettis,1,undirected
