Source,Target,Weight,Type
79B Aickman Road,Amy Pond,1,undirected
79B Aickman Road,Craig Owens,1,undirected
79B Aickman Road,Eleventh Doctor,1,undirected
79B Aickman Road,Sophie (The Lodger),1,undirected
A. H. Millington,Ace,1,undirected
A. H. Millington,Fenric,1,undirected
A. H. Millington,Haemovore,1,undirected
A. H. Millington,Ingiger,1,undirected
A. H. Millington,Seventh Doctor,1,undirected
Abigail Pettigrew,Amy Pond,1,undirected
Abigail Pettigrew,Eleventh Doctor,1,undirected
Abigail Pettigrew,Elliot Sardick,1,undirected
Abigail Pettigrew,Kazran Sardick,1,undirected
Abigail Pettigrew,Rory Williams,1,undirected
Abzorbaloff,Jackie Tyler,1,undirected
Abzorbaloff,Rose Tyler,1,undirected
Abzorbaloff,Tenth Doctor,1,undirected
Ace,A. H. Millington,1,undirected
Ace,Allison Williams,1,undirected
Ace,Ancelyn,1,undirected
Ace,Black Dalek Leader,1,undirected
Ace,Cheetah Person,1,undirected
Ace,Chief clown,1,undirected
Ace,Cyber-Leader (Silver Nemesis),1,undirected
Ace,Davros,1,undirected
Ace,De Flores,1,undirected
Ace,Fenric,1,undirected
Ace,Fifth Doctor,1,undirected
Ace,Fourth Doctor,1,undirected
Ace,Gods of Ragnarok,1,undirected
Ace,Haemovore,1,undirected
Ace,Helen A,1,undirected
Ace,Ian Gilmore,1,undirected
Ace,Ingiger,1,undirected
Ace,Josiah Samuel Smith,1,undirected
Ace,K9 (Storm in a Tikka) (page does not exist),1,undirected
Ace,Kandyman,1,undirected
Ace,Kane (Dragonfire),1,undirected
Ace,Kitling,1,undirected
Ace,Leela,1,undirected
Ace,Light (Ghost Light),1,undirected
Ace,Liz Shaw,1,undirected
Ace,Mags (The Greatest Show in the Galaxy),1,undirected
Ace,Melanie Bush,2,undirected
Ace,Midge (Survival),1,undirected
Ace,Mike Yates,1,undirected
Ace,Morgaine,1,undirected
Ace,Nyssa,1,undirected
Ace,Peinforte,1,undirected
Ace,Peri Brown,1,undirected
Ace,Rachel Jensen,1,undirected
Ace,Romana II,1,undirected
Ace,Sabalom Glitz,1,undirected
Ace,Sarah Jane Smith,1,undirected
Ace,Seventh Doctor,10,undirected
Ace,Sixth Doctor,1,undirected
Ace,Susan Foreman,1,undirected
Ace,The Brigadier,2,undirected
Ace,The Destroyer,1,undirected
Ace,The Master,1,undirected
Ace,The Rani,1,undirected
Ace,Third Doctor,1,undirected
Ace,Victoria Waterfield,1,undirected
Ace,Winifred Bambera,1,undirected
Ace (Death Comes to Time),Antimony (Death Comes to Time),1,undirected
Ace (Death Comes to Time),Minister of Chance,1,undirected
Ace (Death Comes to Time),Seventh Doctor (Death Comes to Time),1,undirected
Ace (Death Comes to Time),Tannis (Death Comes to Time),1,undirected
Ace (Death Comes to Time),The Brigadier (Death Comes to Time),1,undirected
Ada Lovelace,Daniel Barton,1,undirected
Ada Lovelace,Graham O'Brien,1,undirected
Ada Lovelace,Hakim Khan,1,undirected
Ada Lovelace,Kasaavin,1,undirected
Ada Lovelace,Najia Khan,1,undirected
Ada Lovelace,Noor Inayat Khan,1,undirected
Ada Lovelace,Ryan Sinclair,1,undirected
Ada Lovelace,Sonya Khan,1,undirected
Ada Lovelace,The Master,1,undirected
Ada Lovelace,Thirteenth Doctor,1,undirected
Ada Lovelace,Tibo,1,undirected
Ada Lovelace,Yasmin Khan,1,undirected
Adam Mitchell,Metaltron,1,undirected
Adam Mitchell,Mighty Jagrafess of the Holy Hadrojassic Maxarodenfoe,1,undirected
Adam Mitchell,Ninth Doctor,2,undirected
Adam Mitchell,Rose Tyler,2,undirected
Adam Mitchell,The Editor,1,undirected
Adelaide Brooke,Ood Sigma,1,undirected
Adelaide Brooke,Tenth Doctor,1,undirected
Adelaide Brooke,The Flood (The Waters of Mars),1,undirected
Adolf Hitler,Amy Pond,1,undirected
Adolf Hitler,Arthur Candy,1,undirected
Adolf Hitler,Captain,1,undirected
Adolf Hitler,Carter (Let's Kill Hitler),1,undirected
Adolf Hitler,Eleventh Doctor,1,undirected
Adolf Hitler,River Song,1,undirected
Adolf Hitler,Rory Williams,1,undirected
Adrasta,Fourth Doctor,1,undirected
Adrasta,K9 Mark II,1,undirected
Adrasta,Romana II,1,undirected
Adric,Ann Talbot,1,undirected
Adric,Cyber-Leader (Earthshock),1,undirected
Adric,Dukkha,1,undirected
Adric,Fifth Doctor,9,undirected
Adric,Fourth Doctor,5,undirected
Adric,Hindle,1,undirected
Adric,K9 Mark II,3,undirected
Adric,Kamelion,1,undirected
Adric,King Vampire,1,undirected
Adric,Madge Cranleigh,1,undirected
Adric,Mara,1,undirected
Adric,Marshman,1,undirected
Adric,Morgus,1,undirected
Adric,Nyssa,10,undirected
Adric,Peri Brown,1,undirected
Adric,Richard Mace,1,undirected
Adric,Romana II,3,undirected
Adric,Rorvik,1,undirected
Adric,Sharaz Jek,1,undirected
Adric,Sixth Doctor,1,undirected
Adric,Stotz,1,undirected
