Source,Target,Story
First Doctor,Susan Foreman,An_Unearthly_Child_(TV_story)
First Doctor,Ian Chesterton,An_Unearthly_Child_(TV_story)
First Doctor,Barbara Wright,An_Unearthly_Child_(TV_story)
First Doctor,Kal,An_Unearthly_Child_(TV_story)
Susan Foreman,Ian Chesterton,An_Unearthly_Child_(TV_story)
Susan Foreman,Barbara Wright,An_Unearthly_Child_(TV_story)
Susan Foreman,Kal,An_Unearthly_Child_(TV_story)
Ian Chesterton,Barbara Wright,An_Unearthly_Child_(TV_story)
Ian Chesterton,Kal,An_Unearthly_Child_(TV_story)
Barbara Wright,Kal,An_Unearthly_Child_(TV_story)
First Doctor,Susan Foreman,The_Daleks_(TV_story)
First Doctor,Ian Chesterton,The_Daleks_(TV_story)
First Doctor,Barbara Wright,The_Daleks_(TV_story)
First Doctor,Dalek,The_Daleks_(TV_story)
Susan Foreman,Ian Chesterton,The_Daleks_(TV_story)
Susan Foreman,Barbara Wright,The_Daleks_(TV_story)
Susan Foreman,Dalek,The_Daleks_(TV_story)
Ian Chesterton,Barbara Wright,The_Daleks_(TV_story)
Ian Chesterton,Dalek,The_Daleks_(TV_story)
Barbara Wright,Dalek,The_Daleks_(TV_story)
First Doctor,Susan Foreman,The_Edge_of_Destruction_(TV_story)
First Doctor,Ian Chesterton,The_Edge_of_Destruction_(TV_story)
First Doctor,Barbara Wright,The_Edge_of_Destruction_(TV_story)
Susan Foreman,Ian Chesterton,The_Edge_of_Destruction_(TV_story)
Susan Foreman,Barbara Wright,The_Edge_of_Destruction_(TV_story)
Ian Chesterton,Barbara Wright,The_Edge_of_Destruction_(TV_story)
First Doctor,Susan Foreman,Marco_Polo_(TV_story)
First Doctor,Ian Chesterton,Marco_Polo_(TV_story)
First Doctor,Barbara Wright,Marco_Polo_(TV_story)
First Doctor,Marco Polo,Marco_Polo_(TV_story)
First Doctor,Tegana,Marco_Polo_(TV_story)
Susan Foreman,Ian Chesterton,Marco_Polo_(TV_story)
Susan Foreman,Barbara Wright,Marco_Polo_(TV_story)
Susan Foreman,Marco Polo,Marco_Polo_(TV_story)
Susan Foreman,Tegana,Marco_Polo_(TV_story)
Ian Chesterton,Barbara Wright,Marco_Polo_(TV_story)
Ian Chesterton,Marco Polo,Marco_Polo_(TV_story)
Ian Chesterton,Tegana,Marco_Polo_(TV_story)
Barbara Wright,Marco Polo,Marco_Polo_(TV_story)
Barbara Wright,Tegana,Marco_Polo_(TV_story)
Marco Polo,Tegana,Marco_Polo_(TV_story)
First Doctor,Susan Foreman,The_Keys_of_Marinus_(TV_story)
First Doctor,Ian Chesterton,The_Keys_of_Marinus_(TV_story)
First Doctor,Barbara Wright,The_Keys_of_Marinus_(TV_story)
First Doctor,Yartek,The_Keys_of_Marinus_(TV_story)
Susan Foreman,Ian Chesterton,The_Keys_of_Marinus_(TV_story)
Susan Foreman,Barbara Wright,The_Keys_of_Marinus_(TV_story)
Susan Foreman,Yartek,The_Keys_of_Marinus_(TV_story)
Ian Chesterton,Barbara Wright,The_Keys_of_Marinus_(TV_story)
Ian Chesterton,Yartek,The_Keys_of_Marinus_(TV_story)
Barbara Wright,Yartek,The_Keys_of_Marinus_(TV_story)
First Doctor,Susan Foreman,The_Aztecs_(TV_story)
First Doctor,Ian Chesterton,The_Aztecs_(TV_story)
First Doctor,Barbara Wright,The_Aztecs_(TV_story)
First Doctor,Tlotoxl,The_Aztecs_(TV_story)
Susan Foreman,Ian Chesterton,The_Aztecs_(TV_story)
Susan Foreman,Barbara Wright,The_Aztecs_(TV_story)
Susan Foreman,Tlotoxl,The_Aztecs_(TV_story)
Ian Chesterton,Barbara Wright,The_Aztecs_(TV_story)
Ian Chesterton,Tlotoxl,The_Aztecs_(TV_story)
Barbara Wright,Tlotoxl,The_Aztecs_(TV_story)
First Doctor,Susan Foreman,The_Sensorites_(TV_story)
First Doctor,Ian Chesterton,The_Sensorites_(TV_story)
First Doctor,Barbara Wright,The_Sensorites_(TV_story)
First Doctor,City Administrator (The Sensorites),The_Sensorites_(TV_story)
First Doctor,Commander (The Sensorites),The_Sensorites_(TV_story)
Susan Foreman,Ian Chesterton,The_Sensorites_(TV_story)
Susan Foreman,Barbara Wright,The_Sensorites_(TV_story)
Susan Foreman,City Administrator (The Sensorites),The_Sensorites_(TV_story)
Susan Foreman,Commander (The Sensorites),The_Sensorites_(TV_story)
Ian Chesterton,Barbara Wright,The_Sensorites_(TV_story)
Ian Chesterton,City Administrator (The Sensorites),The_Sensorites_(TV_story)
Ian Chesterton,Commander (The Sensorites),The_Sensorites_(TV_story)
Barbara Wright,City Administrator (The Sensorites),The_Sensorites_(TV_story)
Barbara Wright,Commander (The Sensorites),The_Sensorites_(TV_story)
City Administrator (The Sensorites),Commander (The Sensorites),The_Sensorites_(TV_story)
First Doctor,Susan Foreman,The_Reign_of_Terror_(TV_story)
First Doctor,Ian Chesterton,The_Reign_of_Terror_(TV_story)
First Doctor,Barbara Wright,The_Reign_of_Terror_(TV_story)
First Doctor,Napoléon Bonaparte,The_Reign_of_Terror_(TV_story)
First Doctor,Maximilien Robespierre,The_Reign_of_Terror_(TV_story)
First Doctor,Léon Colbert,The_Reign_of_Terror_(TV_story)
Susan Foreman,Ian Chesterton,The_Reign_of_Terror_(TV_story)
Susan Foreman,Barbara Wright,The_Reign_of_Terror_(TV_story)
Susan Foreman,Napoléon Bonaparte,The_Reign_of_Terror_(TV_story)
Susan Foreman,Maximilien Robespierre,The_Reign_of_Terror_(TV_story)
Susan Foreman,Léon Colbert,The_Reign_of_Terror_(TV_story)
Ian Chesterton,Barbara Wright,The_Reign_of_Terror_(TV_story)
Ian Chesterton,Napoléon Bonaparte,The_Reign_of_Terror_(TV_story)
Ian Chesterton,Maximilien Robespierre,The_Reign_of_Terror_(TV_story)
Ian Chesterton,Léon Colbert,The_Reign_of_Terror_(TV_story)
Barbara Wright,Napoléon Bonaparte,The_Reign_of_Terror_(TV_story)
Barbara Wright,Maximilien Robespierre,The_Reign_of_Terror_(TV_story)
Barbara Wright,Léon Colbert,The_Reign_of_Terror_(TV_story)
Napoléon Bonaparte,Maximilien Robespierre,The_Reign_of_Terror_(TV_story)
Napoléon Bonaparte,Léon Colbert,The_Reign_of_Terror_(TV_story)
Maximilien Robespierre,Léon Colbert,The_Reign_of_Terror_(TV_story)
First Doctor,Susan Foreman,Planet_of_Giants_(TV_story)
First Doctor,Ian Chesterton,Planet_of_Giants_(TV_story)
First Doctor,Barbara Wright,Planet_of_Giants_(TV_story)
First Doctor,Forester (Planet of Giants),Planet_of_Giants_(TV_story)
Susan Foreman,Ian Chesterton,Planet_of_Giants_(TV_story)
Susan Foreman,Barbara Wright,Planet_of_Giants_(TV_story)
Susan Foreman,Forester (Planet of Giants),Planet_of_Giants_(TV_story)
Ian Chesterton,Barbara Wright,Planet_of_Giants_(TV_story)
Ian Chesterton,Forester (Planet of Giants),Planet_of_Giants_(TV_story)
Barbara Wright,Forester (Planet of Giants),Planet_of_Giants_(TV_story)
First Doctor,Susan Foreman,The_Dalek_Invasion_of_Earth_(TV_story)
First Doctor,Ian Chesterton,The_Dalek_Invasion_of_Earth_(TV_story)
First Doctor,Barbara Wright,The_Dalek_Invasion_of_Earth_(TV_story)
First Doctor,Supreme Controller (The Dalek Invasion of Earth),The_Dalek_Invasion_of_Earth_(TV_story)
Susan Foreman,Ian Chesterton,The_Dalek_Invasion_of_Earth_(TV_story)
Susan Foreman,Barbara Wright,The_Dalek_Invasion_of_Earth_(TV_story)
Susan Foreman,Supreme Controller (The Dalek Invasion of Earth),The_Dalek_Invasion_of_Earth_(TV_story)
Ian Chesterton,Barbara Wright,The_Dalek_Invasion_of_Earth_(TV_story)
