Source,Target,Story
Ninth Doctor,Rose Tyler,Rose_(TV_story)
Ninth Doctor,Mickey Smith,Rose_(TV_story)
Ninth Doctor,Jackie Tyler,Rose_(TV_story)
Ninth Doctor,Clive Finch,Rose_(TV_story)
Ninth Doctor,Nestene Consciousness,Rose_(TV_story)
Rose Tyler,Mickey Smith,Rose_(TV_story)
Rose Tyler,Jackie Tyler,Rose_(TV_story)
Rose Tyler,Clive Finch,Rose_(TV_story)
Rose Tyler,Nestene Consciousness,Rose_(TV_story)
Mickey Smith,Jackie Tyler,Rose_(TV_story)
Mickey Smith,Clive Finch,Rose_(TV_story)
Mickey Smith,Nestene Consciousness,Rose_(TV_story)
Jackie Tyler,Clive Finch,Rose_(TV_story)
Jackie Tyler,Nestene Consciousness,Rose_(TV_story)
Clive Finch,Nestene Consciousness,Rose_(TV_story)
Ninth Doctor,Rose Tyler,The_End_of_the_World_(TV_story)
Ninth Doctor,Jackie Tyler,The_End_of_the_World_(TV_story)
Ninth Doctor,Face of Boe,The_End_of_the_World_(TV_story)
Ninth Doctor,Cassandra O'Brien.Δ17,The_End_of_the_World_(TV_story)
Rose Tyler,Jackie Tyler,The_End_of_the_World_(TV_story)
Rose Tyler,Face of Boe,The_End_of_the_World_(TV_story)
Rose Tyler,Cassandra O'Brien.Δ17,The_End_of_the_World_(TV_story)
Jackie Tyler,Face of Boe,The_End_of_the_World_(TV_story)
Jackie Tyler,Cassandra O'Brien.Δ17,The_End_of_the_World_(TV_story)
Face of Boe,Cassandra O'Brien.Δ17,The_End_of_the_World_(TV_story)
Ninth Doctor,Rose Tyler,The_Unquiet_Dead_(TV_story)
Ninth Doctor,Charles Dickens,The_Unquiet_Dead_(TV_story)
Ninth Doctor,Gelth ambassador,The_Unquiet_Dead_(TV_story)
Rose Tyler,Charles Dickens,The_Unquiet_Dead_(TV_story)
Rose Tyler,Gelth ambassador,The_Unquiet_Dead_(TV_story)
Charles Dickens,Gelth ambassador,The_Unquiet_Dead_(TV_story)
Ninth Doctor,Rose Tyler,Aliens_of_London_(TV_story)
Ninth Doctor,Jackie Tyler,Aliens_of_London_(TV_story)
Ninth Doctor,Mickey Smith,Aliens_of_London_(TV_story)
Ninth Doctor,Harriet Jones,Aliens_of_London_(TV_story)
Ninth Doctor,Toshiko Sato,Aliens_of_London_(TV_story)
Ninth Doctor,Jocrassa Fel-Fotch Passameer-Day Slitheen,Aliens_of_London_(TV_story)
Rose Tyler,Jackie Tyler,Aliens_of_London_(TV_story)
Rose Tyler,Mickey Smith,Aliens_of_London_(TV_story)
Rose Tyler,Harriet Jones,Aliens_of_London_(TV_story)
Rose Tyler,Toshiko Sato,Aliens_of_London_(TV_story)
Rose Tyler,Jocrassa Fel-Fotch Passameer-Day Slitheen,Aliens_of_London_(TV_story)
Jackie Tyler,Mickey Smith,Aliens_of_London_(TV_story)
Jackie Tyler,Harriet Jones,Aliens_of_London_(TV_story)
Jackie Tyler,Toshiko Sato,Aliens_of_London_(TV_story)
Jackie Tyler,Jocrassa Fel-Fotch Passameer-Day Slitheen,Aliens_of_London_(TV_story)
Mickey Smith,Harriet Jones,Aliens_of_London_(TV_story)
Mickey Smith,Toshiko Sato,Aliens_of_London_(TV_story)
Mickey Smith,Jocrassa Fel-Fotch Passameer-Day Slitheen,Aliens_of_London_(TV_story)
Harriet Jones,Toshiko Sato,Aliens_of_London_(TV_story)
Harriet Jones,Jocrassa Fel-Fotch Passameer-Day Slitheen,Aliens_of_London_(TV_story)
Toshiko Sato,Jocrassa Fel-Fotch Passameer-Day Slitheen,Aliens_of_London_(TV_story)
Ninth Doctor,Rose Tyler,World_War_Three_(TV_story)
Ninth Doctor,Harriet Jones,World_War_Three_(TV_story)
Ninth Doctor,Mickey Smith,World_War_Three_(TV_story)
Ninth Doctor,Jackie Tyler,World_War_Three_(TV_story)
Ninth Doctor,Jocrassa Fel-Fotch Passameer-Day Slitheen,World_War_Three_(TV_story)
Rose Tyler,Harriet Jones,World_War_Three_(TV_story)
Rose Tyler,Mickey Smith,World_War_Three_(TV_story)
Rose Tyler,Jackie Tyler,World_War_Three_(TV_story)
Rose Tyler,Jocrassa Fel-Fotch Passameer-Day Slitheen,World_War_Three_(TV_story)
Harriet Jones,Mickey Smith,World_War_Three_(TV_story)
Harriet Jones,Jackie Tyler,World_War_Three_(TV_story)
Harriet Jones,Jocrassa Fel-Fotch Passameer-Day Slitheen,World_War_Three_(TV_story)
Mickey Smith,Jackie Tyler,World_War_Three_(TV_story)
Mickey Smith,Jocrassa Fel-Fotch Passameer-Day Slitheen,World_War_Three_(TV_story)
Jackie Tyler,Jocrassa Fel-Fotch Passameer-Day Slitheen,World_War_Three_(TV_story)
Ninth Doctor,Rose Tyler,Dalek_(TV_story)
Ninth Doctor,Adam Mitchell,Dalek_(TV_story)
Ninth Doctor,Metaltron,Dalek_(TV_story)
Rose Tyler,Adam Mitchell,Dalek_(TV_story)
Rose Tyler,Metaltron,Dalek_(TV_story)
Adam Mitchell,Metaltron,Dalek_(TV_story)
Ninth Doctor,Rose Tyler,The_Long_Game_(TV_story)
Ninth Doctor,Adam Mitchell,The_Long_Game_(TV_story)
Ninth Doctor,Mighty Jagrafess of the Holy Hadrojassic Maxarodenfoe,The_Long_Game_(TV_story)
Ninth Doctor,The Editor,The_Long_Game_(TV_story)
Rose Tyler,Adam Mitchell,The_Long_Game_(TV_story)
Rose Tyler,Mighty Jagrafess of the Holy Hadrojassic Maxarodenfoe,The_Long_Game_(TV_story)
Rose Tyler,The Editor,The_Long_Game_(TV_story)
Adam Mitchell,Mighty Jagrafess of the Holy Hadrojassic Maxarodenfoe,The_Long_Game_(TV_story)
Adam Mitchell,The Editor,The_Long_Game_(TV_story)
Mighty Jagrafess of the Holy Hadrojassic Maxarodenfoe,The Editor,The_Long_Game_(TV_story)
Ninth Doctor,Rose Tyler,Father%27s_Day_(TV_story)
Ninth Doctor,Pete Tyler,Father%27s_Day_(TV_story)
Ninth Doctor,Jackie Tyler,Father%27s_Day_(TV_story)
Ninth Doctor,Reaper,Father%27s_Day_(TV_story)
Rose Tyler,Pete Tyler,Father%27s_Day_(TV_story)
Rose Tyler,Jackie Tyler,Father%27s_Day_(TV_story)
Rose Tyler,Reaper,Father%27s_Day_(TV_story)
Pete Tyler,Jackie Tyler,Father%27s_Day_(TV_story)
Pete Tyler,Reaper,Father%27s_Day_(TV_story)
Jackie Tyler,Reaper,Father%27s_Day_(TV_story)
Ninth Doctor,Rose Tyler,The_Empty_Child_(TV_story)
Ninth Doctor,Jack Harkness,The_Empty_Child_(TV_story)
Ninth Doctor,Empty Child,The_Empty_Child_(TV_story)
Rose Tyler,Jack Harkness,The_Empty_Child_(TV_story)
Rose Tyler,Empty Child,The_Empty_Child_(TV_story)
Jack Harkness,Empty Child,The_Empty_Child_(TV_story)
Ninth Doctor,Rose Tyler,The_Doctor_Dances_(TV_story)
Ninth Doctor,Jack Harkness,The_Doctor_Dances_(TV_story)
Ninth Doctor,Empty Child,The_Doctor_Dances_(TV_story)
Rose Tyler,Jack Harkness,The_Doctor_Dances_(TV_story)
Rose Tyler,Empty Child,The_Doctor_Dances_(TV_story)
Jack Harkness,Empty Child,The_Doctor_Dances_(TV_story)
Ninth Doctor,Rose Tyler,Boom_Town_(TV_story)
Ninth Doctor,Jack Harkness,Boom_Town_(TV_story)
Ninth Doctor,Mickey Smith,Boom_Town_(TV_story)
Ninth Doctor,Blon Fel-Fotch Passameer-Day Slitheen,Boom_Town_(TV_story)
Rose Tyler,Jack Harkness,Boom_Town_(TV_story)
Rose Tyler,Mickey Smith,Boom_Town_(TV_story)
Rose Tyler,Blon Fel-Fotch Passameer-Day Slitheen,Boom_Town_(TV_story)
Jack Harkness,Mickey Smith,Boom_Town_(TV_story)
Jack Harkness,Blon Fel-Fotch Passameer-Day Slitheen,Boom_Town_(TV_story)
Mickey Smith,Blon Fel-Fotch Passameer-Day Slitheen,Boom_Town_(TV_story)
Ninth Doctor,Rose Tyler,Bad_Wolf_(TV_story)
Ninth Doctor,Jack Harkness,Bad_Wolf_(TV_story)
Ninth Doctor,Lynda Moss,Bad_Wolf_(TV_story)
Ninth Doctor,Dalek of human origin,Bad_Wolf_(TV_story)
Rose Tyler,Jack Harkness,Bad_Wolf_(TV_story)
Rose Tyler,Lynda Moss,Bad_Wolf_(TV_story)
Rose Tyler,Dalek of human origin,Bad_Wolf_(TV_story)
Jack Harkness,Lynda Moss,Bad_Wolf_(TV_story)
Jack Harkness,Dalek of human origin,Bad_Wolf_(TV_story)
Lynda Moss,Dalek of human origin,Bad_Wolf_(TV_story)
Ninth Doctor,Rose Tyler,The_Parting_of_the_Ways_(TV_story)
Ninth Doctor,Jack Harkness,The_Parting_of_the_Ways_(TV_story)
Ninth Doctor,Lynda Moss,The_Parting_of_the_Ways_(TV_story)
Ninth Doctor,Mickey Smith,The_Parting_of_the_Ways_(TV_story)
Ninth Doctor,Jackie Tyler,The_Parting_of_the_Ways_(TV_story)
Ninth Doctor,Bad Wolf (entity),The_Parting_of_the_Ways_(TV_story)
Ninth Doctor,Tenth Doctor,The_Parting_of_the_Ways_(TV_story)
Ninth Doctor,Dalek Emperor in the Last Great Time War,The_Parting_of_the_Ways_(TV_story)
Rose Tyler,Jack Harkness,The_Parting_of_the_Ways_(TV_story)
Rose Tyler,Lynda Moss,The_Parting_of_the_Ways_(TV_story)
Rose Tyler,Mickey Smith,The_Parting_of_the_Ways_(TV_story)
Rose Tyler,Jackie Tyler,The_Parting_of_the_Ways_(TV_story)
Rose Tyler,Bad Wolf (entity),The_Parting_of_the_Ways_(TV_story)
Rose Tyler,Tenth Doctor,The_Parting_of_the_Ways_(TV_story)
Rose Tyler,Dalek Emperor in the Last Great Time War,The_Parting_of_the_Ways_(TV_story)
Jack Harkness,Lynda Moss,The_Parting_of_the_Ways_(TV_story)
Jack Harkness,Mickey Smith,The_Parting_of_the_Ways_(TV_story)
Jack Harkness,Jackie Tyler,The_Parting_of_the_Ways_(TV_story)
Jack Harkness,Bad Wolf (entity),The_Parting_of_the_Ways_(TV_story)
Jack Harkness,Tenth Doctor,The_Parting_of_the_Ways_(TV_story)
Jack Harkness,Dalek Emperor in the Last Great Time War,The_Parting_of_the_Ways_(TV_story)
Lynda Moss,Mickey Smith,The_Parting_of_the_Ways_(TV_story)
Lynda Moss,Jackie Tyler,The_Parting_of_the_Ways_(TV_story)
Lynda Moss,Bad Wolf (entity),The_Parting_of_the_Ways_(TV_story)
Lynda Moss,Tenth Doctor,The_Parting_of_the_Ways_(TV_story)
Lynda Moss,Dalek Emperor in the Last Great Time War,The_Parting_of_the_Ways_(TV_story)
Mickey Smith,Jackie Tyler,The_Parting_of_the_Ways_(TV_story)
Mickey Smith,Bad Wolf (entity),The_Parting_of_the_Ways_(TV_story)
Mickey Smith,Tenth Doctor,The_Parting_of_the_Ways_(TV_story)
Mickey Smith,Dalek Emperor in the Last Great Time War,The_Parting_of_the_Ways_(TV_story)
Jackie Tyler,Bad Wolf (entity),The_Parting_of_the_Ways_(TV_story)
Jackie Tyler,Tenth Doctor,The_Parting_of_the_Ways_(TV_story)
Jackie Tyler,Dalek Emperor in the Last Great Time War,The_Parting_of_the_Ways_(TV_story)
Bad Wolf (entity),Tenth Doctor,The_Parting_of_the_Ways_(TV_story)
Bad Wolf (entity),Dalek Emperor in the Last Great Time War,The_Parting_of_the_Ways_(TV_story)
Tenth Doctor,Dalek Emperor in the Last Great Time War,The_Parting_of_the_Ways_(TV_story)
Tenth Doctor,Rose Tyler,The_Christmas_Invasion_(TV_story)
Tenth Doctor,Mickey Smith,The_Christmas_Invasion_(TV_story)
Tenth Doctor,Jackie Tyler,The_Christmas_Invasion_(TV_story)
Tenth Doctor,Harriet Jones,The_Christmas_Invasion_(TV_story)
Tenth Doctor,Sycorax leader,The_Christmas_Invasion_(TV_story)
Rose Tyler,Mickey Smith,The_Christmas_Invasion_(TV_story)
Rose Tyler,Jackie Tyler,The_Christmas_Invasion_(TV_story)
Rose Tyler,Harriet Jones,The_Christmas_Invasion_(TV_story)
Rose Tyler,Sycorax leader,The_Christmas_Invasion_(TV_story)
Mickey Smith,Jackie Tyler,The_Christmas_Invasion_(TV_story)
Mickey Smith,Harriet Jones,The_Christmas_Invasion_(TV_story)
Mickey Smith,Sycorax leader,The_Christmas_Invasion_(TV_story)
Jackie Tyler,Harriet Jones,The_Christmas_Invasion_(TV_story)
Jackie Tyler,Sycorax leader,The_Christmas_Invasion_(TV_story)
Harriet Jones,Sycorax leader,The_Christmas_Invasion_(TV_story)
Tenth Doctor,Rose Tyler,New_Earth_(TV_story)
Tenth Doctor,Cassandra O'Brien.Δ17,New_Earth_(TV_story)
Tenth Doctor,Face of Boe,New_Earth_(TV_story)
Tenth Doctor,Mickey Smith,New_Earth_(TV_story)
Tenth Doctor,Jackie Tyler,New_Earth_(TV_story)
Tenth Doctor,Matron,New_Earth_(TV_story)
Tenth Doctor,Casp,New_Earth_(TV_story)
Rose Tyler,Cassandra O'Brien.Δ17,New_Earth_(TV_story)
Rose Tyler,Face of Boe,New_Earth_(TV_story)
Rose Tyler,Mickey Smith,New_Earth_(TV_story)
Rose Tyler,Jackie Tyler,New_Earth_(TV_story)
Rose Tyler,Matron,New_Earth_(TV_story)
Rose Tyler,Casp,New_Earth_(TV_story)
Cassandra O'Brien.Δ17,Face of Boe,New_Earth_(TV_story)
Cassandra O'Brien.Δ17,Mickey Smith,New_Earth_(TV_story)
Cassandra O'Brien.Δ17,Jackie Tyler,New_Earth_(TV_story)
Cassandra O'Brien.Δ17,Matron,New_Earth_(TV_story)
Cassandra O'Brien.Δ17,Casp,New_Earth_(TV_story)
Face of Boe,Mickey Smith,New_Earth_(TV_story)
Face of Boe,Jackie Tyler,New_Earth_(TV_story)
Face of Boe,Matron,New_Earth_(TV_story)
Face of Boe,Casp,New_Earth_(TV_story)
Mickey Smith,Jackie Tyler,New_Earth_(TV_story)
Mickey Smith,Matron,New_Earth_(TV_story)
Mickey Smith,Casp,New_Earth_(TV_story)
Jackie Tyler,Matron,New_Earth_(TV_story)
Jackie Tyler,Casp,New_Earth_(TV_story)
Matron,Casp,New_Earth_(TV_story)
Tenth Doctor,Rose Tyler,Tooth_and_Claw_(TV_story)
Tenth Doctor,Victoria,Tooth_and_Claw_(TV_story)
Tenth Doctor,Angelo (Tooth and Claw),Tooth_and_Claw_(TV_story)
Tenth Doctor,The Host,Tooth_and_Claw_(TV_story)
Rose Tyler,Victoria,Tooth_and_Claw_(TV_story)
Rose Tyler,Angelo (Tooth and Claw),Tooth_and_Claw_(TV_story)
Rose Tyler,The Host,Tooth_and_Claw_(TV_story)
Victoria,Angelo (Tooth and Claw),Tooth_and_Claw_(TV_story)
Victoria,The Host,Tooth_and_Claw_(TV_story)
Angelo (Tooth and Claw),The Host,Tooth_and_Claw_(TV_story)
Tenth Doctor,Rose Tyler,School_Reunion_(TV_story)
Tenth Doctor,Mickey Smith,School_Reunion_(TV_story)
Tenth Doctor,Sarah Jane Smith,School_Reunion_(TV_story)
Tenth Doctor,K9 Mark III,School_Reunion_(TV_story)
Tenth Doctor,K9 Mark IV,School_Reunion_(TV_story)
Tenth Doctor,Lassar,School_Reunion_(TV_story)
Rose Tyler,Mickey Smith,School_Reunion_(TV_story)
Rose Tyler,Sarah Jane Smith,School_Reunion_(TV_story)
Rose Tyler,K9 Mark III,School_Reunion_(TV_story)
Rose Tyler,K9 Mark IV,School_Reunion_(TV_story)
Rose Tyler,Lassar,School_Reunion_(TV_story)
Mickey Smith,Sarah Jane Smith,School_Reunion_(TV_story)
Mickey Smith,K9 Mark III,School_Reunion_(TV_story)
Mickey Smith,K9 Mark IV,School_Reunion_(TV_story)
Mickey Smith,Lassar,School_Reunion_(TV_story)
Sarah Jane Smith,K9 Mark III,School_Reunion_(TV_story)
Sarah Jane Smith,K9 Mark IV,School_Reunion_(TV_story)
Sarah Jane Smith,Lassar,School_Reunion_(TV_story)
K9 Mark III,K9 Mark IV,School_Reunion_(TV_story)
K9 Mark III,Lassar,School_Reunion_(TV_story)
K9 Mark IV,Lassar,School_Reunion_(TV_story)
Tenth Doctor,Rose Tyler,The_Girl_in_the_Fireplace_(TV_story)
Tenth Doctor,Mickey Smith,The_Girl_in_the_Fireplace_(TV_story)
Tenth Doctor,Jeanne-Antoinette Poisson,The_Girl_in_the_Fireplace_(TV_story)
Tenth Doctor,Clockwork Droid,The_Girl_in_the_Fireplace_(TV_story)
Tenth Doctor,Control node (The Girl in the Fireplace),The_Girl_in_the_Fireplace_(TV_story)
Rose Tyler,Mickey Smith,The_Girl_in_the_Fireplace_(TV_story)
Rose Tyler,Jeanne-Antoinette Poisson,The_Girl_in_the_Fireplace_(TV_story)
Rose Tyler,Clockwork Droid,The_Girl_in_the_Fireplace_(TV_story)
Rose Tyler,Control node (The Girl in the Fireplace),The_Girl_in_the_Fireplace_(TV_story)
Mickey Smith,Jeanne-Antoinette Poisson,The_Girl_in_the_Fireplace_(TV_story)
Mickey Smith,Clockwork Droid,The_Girl_in_the_Fireplace_(TV_story)
Mickey Smith,Control node (The Girl in the Fireplace),The_Girl_in_the_Fireplace_(TV_story)
Jeanne-Antoinette Poisson,Clockwork Droid,The_Girl_in_the_Fireplace_(TV_story)
Jeanne-Antoinette Poisson,Control node (The Girl in the Fireplace),The_Girl_in_the_Fireplace_(TV_story)
Clockwork Droid,Control node (The Girl in the Fireplace),The_Girl_in_the_Fireplace_(TV_story)
Tenth Doctor,Rose Tyler,Rise_of_the_Cybermen_(TV_story)
Tenth Doctor,Mickey Smith,Rise_of_the_Cybermen_(TV_story)
Tenth Doctor,Pete Tyler (Pete's World),Rise_of_the_Cybermen_(TV_story)
Tenth Doctor,Ricky Smith,Rise_of_the_Cybermen_(TV_story)
Tenth Doctor,Jackie Tyler (Pete's World),Rise_of_the_Cybermen_(TV_story)
Tenth Doctor,Jake Simmonds,Rise_of_the_Cybermen_(TV_story)
Tenth Doctor,John Lumic,Rise_of_the_Cybermen_(TV_story)
Tenth Doctor,Cybermen,Rise_of_the_Cybermen_(TV_story)
Rose Tyler,Mickey Smith,Rise_of_the_Cybermen_(TV_story)
Rose Tyler,Pete Tyler (Pete's World),Rise_of_the_Cybermen_(TV_story)
Rose Tyler,Ricky Smith,Rise_of_the_Cybermen_(TV_story)
Rose Tyler,Jackie Tyler (Pete's World),Rise_of_the_Cybermen_(TV_story)
Rose Tyler,Jake Simmonds,Rise_of_the_Cybermen_(TV_story)
Rose Tyler,John Lumic,Rise_of_the_Cybermen_(TV_story)
Rose Tyler,Cybermen,Rise_of_the_Cybermen_(TV_story)
Mickey Smith,Pete Tyler (Pete's World),Rise_of_the_Cybermen_(TV_story)
Mickey Smith,Ricky Smith,Rise_of_the_Cybermen_(TV_story)
Mickey Smith,Jackie Tyler (Pete's World),Rise_of_the_Cybermen_(TV_story)
Mickey Smith,Jake Simmonds,Rise_of_the_Cybermen_(TV_story)
Mickey Smith,John Lumic,Rise_of_the_Cybermen_(TV_story)
Mickey Smith,Cybermen,Rise_of_the_Cybermen_(TV_story)
Pete Tyler (Pete's World),Ricky Smith,Rise_of_the_Cybermen_(TV_story)
Pete Tyler (Pete's World),Jackie Tyler (Pete's World),Rise_of_the_Cybermen_(TV_story)
Pete Tyler (Pete's World),Jake Simmonds,Rise_of_the_Cybermen_(TV_story)
Pete Tyler (Pete's World),John Lumic,Rise_of_the_Cybermen_(TV_story)
Pete Tyler (Pete's World),Cybermen,Rise_of_the_Cybermen_(TV_story)
Ricky Smith,Jackie Tyler (Pete's World),Rise_of_the_Cybermen_(TV_story)
Ricky Smith,Jake Simmonds,Rise_of_the_Cybermen_(TV_story)
Ricky Smith,John Lumic,Rise_of_the_Cybermen_(TV_story)
Ricky Smith,Cybermen,Rise_of_the_Cybermen_(TV_story)
Jackie Tyler (Pete's World),Jake Simmonds,Rise_of_the_Cybermen_(TV_story)
Jackie Tyler (Pete's World),John Lumic,Rise_of_the_Cybermen_(TV_story)
Jackie Tyler (Pete's World),Cybermen,Rise_of_the_Cybermen_(TV_story)
Jake Simmonds,John Lumic,Rise_of_the_Cybermen_(TV_story)
Jake Simmonds,Cybermen,Rise_of_the_Cybermen_(TV_story)
John Lumic,Cybermen,Rise_of_the_Cybermen_(TV_story)
Tenth Doctor,Rose Tyler,The_Age_of_Steel_(TV_story)
Tenth Doctor,Mickey Smith,The_Age_of_Steel_(TV_story)
Tenth Doctor,Pete Tyler (Pete's World),The_Age_of_Steel_(TV_story)
Tenth Doctor,Jake Simmonds,The_Age_of_Steel_(TV_story)
Tenth Doctor,Ricky Smith,The_Age_of_Steel_(TV_story)
