Source,Target,Weight,Type
79B Aickman Road,Amy Pond,1,undirected
79B Aickman Road,Craig Owens,1,undirected
79B Aickman Road,Eleventh Doctor,1,undirected
79B Aickman Road,Sophie (The Lodger),1,undirected
Abigail Pettigrew,Amy Pond,1,undirected
Abigail Pettigrew,Eleventh Doctor,1,undirected
Abigail Pettigrew,Elliot Sardick,1,undirected
Abigail Pettigrew,Kazran Sardick,1,undirected
Abigail Pettigrew,Rory Williams,1,undirected
Abzorbaloff,Jackie Tyler,1,undirected
Abzorbaloff,Rose Tyler,1,undirected
Abzorbaloff,Tenth Doctor,1,undirected
Ada Lovelace,Daniel Barton,1,undirected
Ada Lovelace,Graham O'Brien,1,undirected
Ada Lovelace,Hakim Khan,1,undirected
Ada Lovelace,Kasaavin,1,undirected
Ada Lovelace,Najia Khan,1,undirected
Ada Lovelace,Noor Inayat Khan,1,undirected
Ada Lovelace,Ryan Sinclair,1,undirected
Ada Lovelace,Sonya Khan,1,undirected
Ada Lovelace,The Master,1,undirected
Ada Lovelace,Thirteenth Doctor,1,undirected
Ada Lovelace,Tibo,1,undirected
Ada Lovelace,Yasmin Khan,1,undirected
Adam Mitchell,Metaltron,1,undirected
Adam Mitchell,Mighty Jagrafess of the Holy Hadrojassic Maxarodenfoe,1,undirected
Adam Mitchell,Ninth Doctor,2,undirected
Adam Mitchell,Rose Tyler,2,undirected
Adam Mitchell,The Editor,1,undirected
Adelaide Brooke,Ood Sigma,1,undirected
Adelaide Brooke,Tenth Doctor,1,undirected
Adelaide Brooke,The Flood (The Waters of Mars),1,undirected
Adolf Hitler,Amy Pond,1,undirected
Adolf Hitler,Arthur Candy,1,undirected
Adolf Hitler,Captain,1,undirected
Adolf Hitler,Carter (Let's Kill Hitler),1,undirected
Adolf Hitler,Eleventh Doctor,1,undirected
Adolf Hitler,River Song,1,undirected
Adolf Hitler,Rory Williams,1,undirected
Agatha Christie,Arnold Golightly,1,undirected
Agatha Christie,Donna Noble,1,undirected
Agatha Christie,Tenth Doctor,1,undirected
Akhaten,Clara Oswald (The Bells of Saint John),1,undirected
Akhaten,Eleventh Doctor,1,undirected
Akhaten,Mummy (The Rings of Akhaten),1,undirected
Akhaten,Vigil,1,undirected
Alaya,Amy Pond,2,undirected
Alaya,Eleventh Doctor,2,undirected
Alaya,Restac,1,undirected
Alaya,Rory Williams,2,undirected
Albert Einstein,Einstein's liquid,1,undirected
Albert Einstein,Eleventh Doctor,1,undirected
Albert Einstein,Ood (Death is the Only Answer),1,undirected
Alistair Gordon Lethbridge-Stewart,Clara Oswald,1,undirected
Alistair Gordon Lethbridge-Stewart,Danny Pink,1,undirected
Alistair Gordon Lethbridge-Stewart,Kate Stewart,1,undirected
Alistair Gordon Lethbridge-Stewart,The Master,1,undirected
Alistair Gordon Lethbridge-Stewart,Twelfth Doctor,1,undirected
Alistair Gordon Lethbridge-Stewart,Zygon Osgood,1,undirected
Alonso Frame,Astrid Peth,1,undirected
Alonso Frame,Copper (Voyage of the Damned),1,undirected
Alonso Frame,Donna Noble,1,undirected
Alonso Frame,Eleventh Doctor,1,undirected
Alonso Frame,Heavenly Host,1,undirected
Alonso Frame,Jack Harkness,1,undirected
Alonso Frame,Jackie Tyler,1,undirected
Alonso Frame,Luke Smith,1,undirected
Alonso Frame,Martha Jones,1,undirected
Alonso Frame,Max Capricorn,1,undirected
Alonso Frame,Mickey Smith,1,undirected
Alonso Frame,Ood Sigma,1,undirected
Alonso Frame,Rassilon,1,undirected
Alonso Frame,Rose Tyler,1,undirected
Alonso Frame,Sarah Jane Smith,1,undirected
Alonso Frame,Sylvia Noble,1,undirected
Alonso Frame,Tenth Doctor,2,undirected
Alonso Frame,The Master,1,undirected
Alonso Frame,Wilfred Mott,2,undirected
Alpha Centauri (The Curse of Peladon),Bill Potts,1,undirected
Alpha Centauri (The Curse of Peladon),Ice Warrior,1,undirected
Alpha Centauri (The Curse of Peladon),Neville Catchlove,1,undirected
Alpha Centauri (The Curse of Peladon),The Master,1,undirected
Alpha Centauri (The Curse of Peladon),Twelfth Doctor,1,undirected
Amy Pond,79B Aickman Road,1,undirected
Amy Pond,Abigail Pettigrew,1,undirected
Amy Pond,Adolf Hitler,1,undirected
Amy Pond,Alaya,2,undirected
Amy Pond,Amy Pond (The Girl Who Waited),1,undirected
Amy Pond,Arthur Candy,1,undirected
Amy Pond,Barnable,1,undirected
Amy Pond,Brian Williams (Dinosaurs on a Spaceship),2,undirected
Amy Pond,Canton Everett Delaware III,2,undirected
Amy Pond,Captain,2,undirected
Amy Pond,Carter (Let's Kill Hitler),2,undirected
Amy Pond,Clara Oswald,2,undirected
Amy Pond,Craig Owens,2,undirected
Amy Pond,Cyberman (Mondas),1,undirected
Amy Pond,Cyril Arwell,1,undirected
Amy Pond,Dalek,1,undirected
Amy Pond,Daleks,1,undirected
Amy Pond,Dorium Maldovar,3,undirected
Amy Pond,Dream Lord,1,undirected
