Id,Label
A. H. Millington,['Main enemy']
Ace,['Companion(s)']
Ace (Death Comes to Time),['Companion(s)']
Adrasta,['Main enemy']
Adric,"['Companion(s)', 'Featuring']"
Aggedor (The Curse of Peladon),['Featuring']
Alastair Lethbridge-Stewart,['Main enemy']
Alistair Gordon Lethbridge-Stewart,"['Featuring', 'Companion(s)']"
Allison Williams,['Featuring']
Alpha Centauri (The Curse of Peladon),['Featuring']
Amazonia,['Featuring']
Ancelyn,['Featuring']
Ander Poul,['Featuring']
Animus,['Main enemy']
Ann Talbot,['Featuring']
Anti-matter creature,['Main enemy']
Antimony (Death Comes to Time),['Companion(s)']
Arcturus (The Curse of Peladon),['Main enemy']
Arthur Linwood,['Featuring']
Astra of Atrios,['Featuring']
Auton,['Main enemy']
Axos,['Main enemy']
Azal,['Main enemy']
Azaxyr,['Main enemy']
Azmael,['Featuring']
BOSS,['Main enemy']
Bannermen,['Main enemy']
Barbara Wright,['Companion(s)']
Ben Jackson,['Companion(s)']
Bennett (The Rescue),['Main enemy']
Billy Clanton,['Main enemy']
Black Dalek Leader,['Main enemy']
Black Guardian,['Main enemy']
Borad,['Main enemy']
Borusa,"['Featuring', 'Main enemy']"
Bragen,['Main enemy']
Bret Vyon,['Featuring']
Broton,['Main enemy']
Bruno Taltalian,['Main enemy']
Butler (Invasion of the Dinosaurs),['Main enemy']
Carol Bell,['Featuring']
Carrington (The Ambassadors of Death),['Main enemy']
Cassandra (The Myth Makers),['Main enemy']
Catherine de Medici,['Main enemy']
Celestial Toymaker,['Main enemy']
Cessair of Diplos,['Main enemy']
Chameleon (humanoid),['Main enemy']
Chancellor (The Three Doctors),['Featuring']
Chang Lee,['Featuring']
Channing,['Main enemy']
Charles Grover,['Main enemy']
Charles Kettering,['Featuring']
Cheetah Person,['Main enemy']
Chela,['Companion(s)']
Cherub (The Smugglers),['Main enemy']
Chessene of the Franzine Grig,['Main enemy']
Chief Caretaker,['Main enemy']
Chief Officer,['Main enemy']
Chief clown,['Main enemy']
Chris Parsons,['Featuring']
Chronotis,['Featuring']
City Administrator (The Sensorites),['Main enemy']
Clare Keightley,['Featuring']
Clifford Jones,['Featuring']
Collinson,['Main enemy']
Commander,['Main enemy']
Commander (The Sensorites),['Main enemy']
Cutler (The Tenth Planet),['Main enemy']
Cyber-Controller,['Main enemy']
Cyber-Controller (The Tomb of the Cybermen),['Main enemy']
Cyber-Director,['Main enemy']
Cyber-Leader (Earthshock),['Main enemy']
Cyber-Leader (Revenge of the Cybermen),['Main enemy']
Cyber-Leader (Silver Nemesis),['Main enemy']
Cyber-Planner (The Wheel in Space),['Main enemy']
CyberMondan,['Main enemy']
CyberTelosian,['Main enemy']
Cyberman,['Main enemy']
Dalek,['Main enemy']
Dalek Prime,['Main enemy']
Dalek Supreme (Planet of the Daleks),['Main enemy']
Davros,['Main enemy']
De Flores,['Main enemy']
Dent (Colony in Space),['Main enemy']
Dodo Chaplet,"['Featuring', 'Companion(s)']"
Drashig,['Main enemy']
Drax,['Featuring']
Duggan,['Featuring']
Dukkha,['Main enemy']
Dymond,['Main enemy']
Dæmon,['Main enemy']
Eckersley,['Main enemy']
Edal,['Main enemy']
Edward Travers,['Featuring']
Edwards (The Smugglers),['Main enemy']
Eelek,['Main enemy']
Eight Legs,['Main enemy']
Eighth Doctor,['Doctor']
Eirak,['Main enemy']
El Akir,['Main enemy']
Eldrad,['Main enemy']
Engin,['Featuring']
Eric Klieg,['Main enemy']
Eric Stahlman,['Main enemy']
Ettis,['Main enemy']
Evelyn Smythe,['Companion(s)']
Federico,['Main enemy']
Fendahl,['Main enemy']
Fenric,['Main enemy']
Field Major,['Main enemy']
Fifth Doctor,"['Featuring', 'Doctor']"
Finch (Invasion of the Dinosaurs),['Main enemy']
First Doctor,"['Doctor', 'Featuring']"
Forester (Planet of Giants),['Main enemy']
Fourth Doctor,"['Featuring', 'Doctor']"
Gareth Jenkins (A Fix with Sontarans),['Featuring']
Gaspard de Saux-Tavannes,['Main enemy']
Gavrok,['Main enemy']
Gaztak,['Main enemy']
George Hutchinson,['Main enemy']
George Litefoot,['Featuring']
George Patrick Barnham,['Featuring']
Giant maggot,['Main enemy']
Gods of Ragnarok,['Main enemy']
Gold Dalek (Day of the Daleks),['Main enemy']
Goth,['Main enemy']
Grace Holloway,['Companion(s)']
Graff Vynda-K,['Main enemy']
Gravis,['Main enemy']
Great Intelligence,['Main enemy']
Greg Sutton,['Featuring']
