Id,Label
79B Aickman Road,['Main enemy']
Abigail Pettigrew,['Companion(s)']
Abzorbaloff,['Main enemy']
Ada Lovelace,['Featuring']
Adam Mitchell,"['Featuring', 'Companion(s)']"
Adelaide Brooke,['Companion(s)']
Adolf Hitler,['Featuring']
Agatha Christie,['Featuring']
Akhaten,['Main enemy']
Alaya,['Main enemy']
Albert Einstein,['Featuring']
Alonso Frame,['Featuring']
Amy Pond,"['Companion(s)', 'Featuring']"
Amy Pond (The Girl Who Waited),['Featuring']
Angelo (Tooth and Claw),['Main enemy']
Angie Maitland,"['Featuring', 'Companion(s)']"
Anthony Williams (P.S.),['Featuring']
Archibald Hamish Lethbridge-Stewart,['Featuring']
Arnold Golightly,['Main enemy']
Arthur Candy,['Featuring']
Artie Maitland,"['Featuring', 'Companion(s)']"
Ashad,['Main enemy']
Ashildr,"['Featuring', 'Main enemy']"
Astrid Peth,['Companion(s)']
Azlok,['Main enemy']
Bad Wolf (entity),['Featuring']
Baltazar,['Main enemy']
Barnable,['Featuring']
Bill Potts,"['Companion(s)', 'Featuring']"
Bill Potts (Shadow World),['Companion(s)']
Blon Fel-Fotch Passameer-Day Slitheen,['Main enemy']
Boneless,['Main enemy']
Bonnie (The Zygon Invasion),"['Companion(s)', 'Main enemy']"
Bors (The Doctor's Meditation),['Companion(s)']
Brian Cox,['Featuring']
Brian Williams (Dinosaurs on a Spaceship),"['Companion(s)', 'Featuring']"
Canton Everett Delaware III,['Featuring']
Captain,"['Main enemy', 'Featuring']"
Carrionite,['Main enemy']
Carter (Let's Kill Hitler),"['Main enemy', 'Featuring']"
Casp,['Main enemy']
Cassandra O'Brien.Δ17,"['Main enemy', 'Featuring']"
Cassie Rice,['Companion(s)']
Chagaska,['Main enemy']
Charles Dickens,['Featuring']
Charlie Duffy,['Main enemy']
Chloe Webber's father,['Main enemy']
Christina de Souza,['Companion(s)']
Clara Oswald,"['Featuring', 'Companion(s)']"
Clara Oswald (The Bells of Saint John),['Companion(s)']
Clive Finch,['Featuring']
Clive Jones,['Featuring']
Clockwork Droid,['Main enemy']
Cobb (The Doctor's Daughter),['Main enemy']
Cofelia,['Main enemy']
Control node (The Girl in the Fireplace),['Main enemy']
Copper (Voyage of the Damned),['Featuring']
Courtney Woods,"['Featuring', 'Companion(s)']"
Craig Owens,"['Featuring', 'Companion(s)']"
Cult of Skaro,['Main enemy']
Cyber-Leader One,['Main enemy']
Cyberman (Mondas),['Main enemy']
Cyberman (Pete's World),['Main enemy']
Cybermen,['Main enemy']
Cyril Arwell,['Companion(s)']
Dalek Caan,"['Main enemy', 'Featuring']"
Dalek Emperor in the Last Great Time War,['Main enemy']
Dalek Fleet,['Main enemy']
Dalek Sec,"['Main enemy', 'Featuring']"
Dalek of human origin,['Main enemy']
Daleks,['Main enemy']
Daniel Barton,['Main enemy']
Danny Pink,['Featuring']
Dermot O'Leary (National Television Awards),['Companion(s)']
Donna Noble,"['Featuring', 'Companion(s)']"
Dorium Maldovar,['Featuring']
Dorothy Skerrit,['Featuring']
Dream Lord,['Main enemy']
Dream crab,['Main enemy']
Dreg,['Main enemy']
Eater of Light,['Main enemy']
Editor (Tardisode 12),['Main enemy']
Edwin Bracewell,['Featuring']
Einstein's liquid,['Main enemy']
Eleventh Doctor,"['Featuring', 'Doctor']"
Eleventh Doctor (Ganger),['Featuring']
Elizabeth I,['Featuring']
Elizabeth X,['Featuring']
Ellie Oswald,['Featuring']
Elliot Sardick,['Main enemy']
Emojibot,['Main enemy']
Empress of the Racnoss (The Runaway Bride),['Main enemy']
Empty Child,['Main enemy']
Erisa Magambo,['Featuring']
Face of Boe,['Featuring']
Family of Blood,['Main enemy']
Fisher King,['Main enemy']
Florence Finnegan,['Main enemy']
Francine Jones,['Featuring']
Frank Armitage,['Featuring']
Futurekind,['Main enemy']
Gagan Rassmussen,['Main enemy']
Ganger,['Main enemy']
Ganymede Systems,['Main enemy']
Gat,['Main enemy']
Gelth ambassador,['Main enemy']
George Gordon Byron,['Featuring']
Ghost,['Main enemy']
Giant spider (Arachnids in the UK),['Main enemy']
Grace O'Brien,"['Companion(s)', 'Featuring']"
Graham O'Brien,['Companion(s)']
Grand Marshall,['Main enemy']
Grant (The Return of Doctor Mysterio),['Featuring']
Graske (Music of the Spheres),['Main enemy']
Gus (Mummy on the Orient Express),['Main enemy']
Gwen Cooper,['Featuring']
Hakim Khan,['Featuring']
Half-Face Man,['Main enemy']
Hame,['Featuring']
Handbot,['Main enemy']
Handles,['Companion(s)']
Harriet Jones,['Featuring']
Harvest ranger,['Main enemy']
Hawthorne (The Beast Below),['Main enemy']
Headless monk,['Main enemy']
Heather (The Pilot),['Featuring']
Heavenly Host,['Main enemy']
Henry Avery,['Featuring']
High Priestess (The Fires of Pompeii),['Main enemy']
House (The Doctor's Wife),['Main enemy']
Hydroflax,['Main enemy']
Ianto Jones,['Featuring']
Idris,['Featuring']
Jac (The Magician's Apprentice),['Featuring']
Jack Harkness,"['Featuring', 'Companion(s)']"
Jack Robertson,"['Main enemy', 'Featuring']"
Jackie Tyler,"['Featuring', 'Companion(s)']"
Jackie Tyler (Pete's World),['Featuring']
Jackson Lake,['Companion(s)']
Jake Simmonds,['Featuring']
James I,['Featuring']
